V240001	V241172 - PRE: What does R dislike about the Democratic party [text]
140699	they are for the people
140701	unbalanced budget practices
140704	Pushing too far left & big government intruding on personal freedoms, soft on crime & immigration, shrinking defense & DISASTROUS overseas policies starting with EMBARRASSING withdrawal from Afghanistan, attacks on Supreme Court while largely ignoring the law (eg student loan forgiveness ruling by the Supremes), and no clue about economics.
140706	they’re very dishonest and liars
140707	Extreme spending.
140708	Their views don’t always keep up with the times
140709	I don't like that they seem to sit on their hands and let the Republicans set us back. It's as if they're too scared to speak up or do something. I also don't like trying to negotiate with Republicans or see both sides of the issue" when it comes laws involving other people's rights and bodies. I also don't like the way the Biden presidency is handling the situation in certain foreign countries."
140710	they target people who don't agree with them, raid their homes, prosecute people on bogus crimes-
140712	They make citizens lives harder, Too much inflation
140713	poor leadership
140715	they've been as complicit in corporate exploitation as Republicans for too long. they decided not to get women's equal rights or abortion protection passed when they had the chance. they didn't do enough to pursue universal health care, free college, or return to heavy taxes on the wealthy
140716	Way to extreme. Way off on Immigration. To far left on LGTBQ. If you have a Y chromosome you play with the other Y's. Vilifying the Supreme Court for making the correct decision. Any lawyer will tell you Roe was judicial activism. I am pro choice but it is up to the states. The Supreme Court got that right. The dems attack on law enforcement is disgusting. Afghanistan pull out for a disgrace.
140717	Foreign policies, abortion, economic, immigration (I am not against immigration, only ILLEGAL immigration)
140718	I don't appreciate how the system is so focused on creating a show" and I still feel that both the Dems and Republicans are self-serving and self-aggrandizing. "
140719	foreign policy, immigration policies, tax policies, some unrealistic/too extreme of social policies
140720	The Democratic Party is out to destroy the USA from within. Many of it's members have no respect for the American Flag or the Constitution. They want the US to be like the hell holes they came from.
