V240001	V241176 - PRE: What does R dislike about the Republican party [text]
140743	Pretty much everything at this point. The are now a party of personality (Trump), rather than a political party. They change the rules to win. I used to think of Republicans as patriots, but now I realize they were only willing to talk about rule of law because they were winning in the past. Since they have begun to have trouble winning elections they are willing to change the rules to win. They cheat and undermine the integrity of our election system. I am appalled.
140745	their anti women and “other” policies
140746	Too many are supporting Trump and a vision of the country drastically misaligned to mine and what I think is right. Removing reproductive rights from women
140752	I feel there are too conservative and some of their issues are too extreme
140755	The constant pandering, the constant lies, the constant foreign aid to countries while every-day Americans are either drug addicted or too poor to pay their rent that month. The national debt. The Neo-Cons who advocate for perpetual war and advocate for the slaughtering of millions (Iraq) and regime change.
140756	high taxes/favoring the 1%
140759	all of it is narcissistic fascism and liars
140760	Their arrogance is distasteful. They are always right and unwilling to work together for the good of the country. The MEGA Republicans are atrocious. More moderate Republicans will not publicly oppose the radicals. They show their negative feelings only behind closed doors. When challenged many Republicans only work for the good of the party." They need more John McCains. "
140761	The party has gone HARD right. Very little moderation any more. They have overused trickery, Gerrymandering and have weaponized the rhertoric.
140766	SK
140769	todo el sistema el racismo[CHAR(10)]
140771	Bunch of S.O.B. that only want to help themselves and don't care about the people who voted them in.
140772	They are divisive, immature, repugnant, punishing, time wasters.
140773	They don't give away the farm.
140775	The Republican party seems to be intertwined with religion, which shouldn't be. Also, the old stance on gay marriage is misguided but seems persistent.
140782	Conservative, closed thinking
140784	Donald Trump
140785	The current portion of the party that is embracing right-wing extremism
140786	They still sre out for theor own political agendas not the people.
140787	TALK TO MUCH WITH NO ACTIONS OR RESULTS
140792	Right now, I have no respect for the Republican party for supporting Trump then or now.
