V240001	V241174 - PRE: What does R like about Republican party [text]
141165	They want to do more for the people, community, and country.
141167	I like the fact they are “less gov’t” and believe we should work for what we’ve got.
141169	not steering this country in the wrong path like the Democratic Party
141170	While I don't feel the party is as strong as it was even 10 years ago I agree with its stance on the majority of issues ( particularly not just handing out money to groups but providing opportunities to individuals willing to put for the effort / more helping-hand policies more than handouts )
141172	That it is conservative
141173	Conservative and responsible.
141176	THEIR VALUES--GOD IS RECOGNIZED--THEY ARE FOR THE GOOD OF THE PEOPLE
141180	I used to agree with the conservative financial approach. low taxes for middle lower class.
141183	Conservative values
141184	policies. I agree with a strong military strong border school choice
141188	I like some of their conservative view, like on abortion.
141189	seems like there thinking like me
141191	capitalism, smaller government
141194	they want to close the border. They want to tap our natural resources. They want to punish criminals
141195	a firmer stance on illegal immigration
141196	We used to be a party of small government and individual freedom. I don't know what is happening now. I hope the Republican party come back.
141197	Less taxes for higher incomes. Taxes don't take into account student loan burden unfortunately
141198	THINK THEY KNOW WHAT THEY ARE DOING
141199	The fact they are for the people.
