V240001	V241170 - PRE: What does R like about Democratic party [text]
141086	pro-choice; pro-Ukraine; pro gun regulation; stance against January 6-ers; respectful/civil politics; believes in climate chance science and pro-environmentalism
141091	care about working class
141094	Our stance on the rights of the people of the U.S.
141096	more liberal views
141098	the Democratic Party seeks to preserve democracy.
141099	Progressive policies around individual and social rights.
141100	support for women’s reproductive rights, support for democracies under attack (Ukraine), infrastructure development
141103	spending money when needed
141106	For the most part, The Demcratic Party cares about the well-being of the country.
141108	SK
141113	views on human rights
141118	I believe the Democratic Party supports social and economic equality it should anyway it should favor greater government
